Ubicación;Producto;SKU;MODELO;GENERO;COLOR;TALLA;Cantidad en inventario
CERRO VERDE;[SHOSUKI107T8] SHORT PLAYA ESTAMPADO KIDS (Honey, 8);SHOSUKI107T8;SHORT PLAYA ESTAMPADO KIDS;Kids;Honey;8;1,00
CERRO VERDE;[SHOSUKI104T4] SHORT PLAYA ESTAMPADO KIDS (BLACK ABSTRACT, 4);SHOSUKI104T4;SHORT PLAYA ESTAMPADO KIDS;Kids;Black Abstract;4;3,00
CERRO VERDE;[SHOSUKI154T14] SHORT PLAYA ESTAMPADO KIDS (SOMBRERO, 14);SHOSUKI154T14;SHORT PLAYA ESTAMPADO KIDS;Kids;Sombrero;14;1,00
CERRO VERDE;[SHOSUKI154T12] SHORT PLAYA ESTAMPADO KIDS (SOMBRERO, 12);SHOSUKI154T12;SHORT PLAYA ESTAMPADO KIDS;Kids;Sombrero;12;1,00
CERRO VERDE;[SHOSUKI154T10] SHORT PLAYA ESTAMPADO KIDS (SOMBRERO, 10);SHOSUKI154T10;SHORT PLAYA ESTAMPADO KIDS;Kids;Sombrero;10;1,00
CERRO VERDE;[SHOSUKI154T6] SHORT PLAYA ESTAMPADO KIDS (SOMBRERO, 6);SHOSUKI154T6;SHORT PLAYA ESTAMPADO KIDS;Kids;Sombrero;6;2,00
CERRO VERDE;[SHOSUKI154T4] SHORT PLAYA ESTAMPADO KIDS (SOMBRERO, 4);SHOSUKI154T4;SHORT PLAYA ESTAMPADO KIDS;Kids;Sombrero;4;1,00
CERRO VERDE;[SHOSUKI154T1] SHORT PLAYA ESTAMPADO KIDS (SOMBRERO, 1);SHOSUKI154T1;SHORT PLAYA ESTAMPADO KIDS;Kids;Sombrero;1;1,00
CERRO VERDE;[SHOSUKI153T12] SHORT PLAYA ESTAMPADO KIDS (SAL, 12);SHOSUKI153T12;SHORT PLAYA ESTAMPADO KIDS;Kids;Sal;12;1,00
CERRO VERDE;[SHOSUKI153T6] SHORT PLAYA ESTAMPADO KIDS (SAL, 6);SHOSUKI153T6;SHORT PLAYA ESTAMPADO KIDS;Kids;Sal;6;1,00
CERRO VERDE;[SHOSUKI153T1] SHORT PLAYA ESTAMPADO KIDS (SAL, 1);SHOSUKI153T1;SHORT PLAYA ESTAMPADO KIDS;Kids;Sal;1;1,00
CERRO VERDE;[SHOSUKI156T12] SHORT PLAYA ESTAMPADO KIDS (TUCUPIDO, 12);SHOSUKI156T12;SHORT PLAYA ESTAMPADO KIDS;Kids;Tucupido;12;1,00
CERRO VERDE;[SHOSUKI156T10] SHORT PLAYA ESTAMPADO KIDS (TUCUPIDO, 10);SHOSUKI156T10;SHORT PLAYA ESTAMPADO KIDS;Kids;Tucupido;10;2,00
CERRO VERDE;[SHOSUKI156T8] SHORT PLAYA ESTAMPADO KIDS (TUCUPIDO, 8);SHOSUKI156T8;SHORT PLAYA ESTAMPADO KIDS;Kids;Tucupido;8;1,00
CERRO VERDE;[SHOSUKI155T4] SHORT PLAYA ESTAMPADO KIDS (PLAYUELA, 4);SHOSUKI155T4;SHORT PLAYA ESTAMPADO KIDS;Kids;Playuela;4;1,00
