Ubicación;Producto;SKU;MODELO;GENERO;COLOR;TALLA;Cantidad en inventario
GRIETA;[BACCCDA158TL] BASIC LINE CROP TEE DAMA (Ivory, L);BACCCDA158TL;BASIC LINE CROP TEE;DAMA;Ivory;L;4
GRIETA;[BACCCDA158TXL] BASIC LINE CROP TEE DAMA (Ivory, XL);BACCCDA158TXL;BASIC LINE CROP TEE;DAMA;Ivory;XL;3
GRIETA;[BACCCDA38TXS] BASIC LINE CROP TEE DAMA (Peanut, XS);BACCCDA38TXS;BASIC LINE CROP TEE;DAMA;Peanut;XS;3
GRIETA;[BACCCDA38TM] BASIC LINE CROP TEE DAMA (Peanut, M);BACCCDA38TM;BASIC LINE CROP TEE;DAMA;Peanut;M;2
GRIETA;[BAOCCCA43TXS] BASIC LINE OVERSIZED CAB (Black, XS);BAOCCCA43TXS;BASIC LINE OVERSIZED;CAB;Black;XS;4
GRIETA;[BAOCCCA43TS] BASIC LINE OVERSIZED CAB (Black, S);BAOCCCA43TS;BASIC LINE OVERSIZED;CAB;Black;S;4
GRIETA;[BAOCCCA43TXL] BASIC LINE OVERSIZED CAB (Black, XL);BAOCCCA43TXL;BASIC LINE OVERSIZED;CAB;Black;XL;3
GRIETA;[BAOCCCA43T2XL] BASIC LINE OVERSIZED CAB (Black, 2XL);BAOCCCA43T2XL;BASIC LINE OVERSIZED;CAB;Black;2XL;1
GRIETA;[BAOCCCA158TXS] BASIC LINE OVERSIZED CAB (Ivory, XS);BAOCCCA158TXS;BASIC LINE OVERSIZED;CAB;Ivory;XS;3
GRIETA;[BAOCCCA158TS] BASIC LINE OVERSIZED CAB (Ivory, S);BAOCCCA158TS;BASIC LINE OVERSIZED;CAB;Ivory;S;3
GRIETA;[BAOCCCA158T2XL] BASIC LINE OVERSIZED CAB (Ivory, 2XL);BAOCCCA158T2XL;BASIC LINE OVERSIZED;CAB;Ivory;2XL;2
GRIETA;[BAOCCCA38TXS] BASIC LINE OVERSIZED CAB (Peanut, XS);BAOCCCA38TXS;BASIC LINE OVERSIZED;CAB;Peanut;XS;5
GRIETA;[BAOCCCA38TS] BASIC LINE OVERSIZED CAB (Peanut, S);BAOCCCA38TS;BASIC LINE OVERSIZED;CAB;Peanut;S;5
GRIETA;[BAOCCCA38TXL] BASIC LINE OVERSIZED CAB (Peanut, XL);BAOCCCA38TXL;BASIC LINE OVERSIZED;CAB;Peanut;XL;4
GRIETA;[BAOCCCA38T2XL] BASIC LINE OVERSIZED CAB (Peanut, 2XL);BAOCCCA38T2XL;BASIC LINE OVERSIZED;CAB;Peanut;2XL;2
GRIETA;[BAPCCDA43TXS] BASIC LINE PANT DAMA (Black, XS);BAPCCDA43TXS;BASIC LINE PANT;DAMA;Black;XS;3
GRIETA;[BAPCCDA43TS] BASIC LINE PANT DAMA (Black, S);BAPCCDA43TS;BASIC LINE PANT;DAMA;Black;S;6
