Ubicaci�n;SKU;MODELO;VARIANTE;Color ;Talla / CARACTERISICA;Cantidad en inventario
CERRO VERDE;BAC33BF;BACKPACK FLEX;[BAC33BF] BACKPACK FLEX (Kaki);Kaki;�nica;11,00
CERRO VERDE;CIT152CIB;CITYBAG;[CIT152CIB] CITYBAG (Verde);Verde;�nica;14,00
CERRO VERDE;CAVAP4335L;CAVAPACK 35L;[CAVAP4335L] CAVAPACK 35L (Negro);Negro;35L;12,00
CERRO VERDE;PONC43EQ;PONCHO KIDS;[PONC43EQ] PONCHO KIDS (Negro);Negro;Kids;1,00
CERRO VERDE;EC172UN;ECO BAG;[EC172UN] ECO BAG (Made in Venezuela/Verde);Verde;�nica;6,00
CERRO VERDE;EC174UN;ECO BAG;[EC174UN] ECO BAG (Ovalo/Azul);Azul;�nica;7,00
CERRO VERDE;BAC13BF;BACKPACK FLEX;[BAC13BF] BACKPACK FLEX (Azul Rey);Azul Rey;�nica;3,00
CERRO VERDE;CAVAP4335L;CAVAPACK 35L;[CAVAP4335L] CAVAPACK 35L (Negro);Negro;35L;3,00
SAMBIL;CAVAP4335L;CAVAPACK 35L;[CAVAP4335L] CAVAPACK 35L (Negro);Negro;35L;2,00
GRIETA;BAC43BF;BACKPACK FLEX;[BAC43BF] BACKPACK FLEX (Negro);Negro;�nica;2,00
CHACAO;CIT166CIB;CITYBAG;[CIT166CIB] CITYBAG (Gris);Gris;�nica;1,00
CHACAO;BAC43BF;BACKPACK FLEX;[BAC43BF] BACKPACK FLEX (Negro);Negro;�nica;18,00
CERRO VERDE;CIT70CIB;CITYBAG;[CIT70CIB] CITYBAG (Vinotinto);Vinotinto;�nica;18,00
CHACAO;CIT70CIB;CITYBAG;[CIT70CIB] CITYBAG (Vinotinto);Vinotinto;�nica;10,00
CERRO VERDE;CIT166CIB;CITYBAG;[CIT166CIB] CITYBAG (Gris);Gris;�nica;9,00
CERRO VERDE;CIT70CIB;CITYBAG;[CIT70CIB] CITYBAG (Vinotinto);Vinotinto;�nica;4,00
SAMBIL;BAC43BF;BACKPACK FLEX;[BAC43BF] BACKPACK FLEX (Negro);Negro;�nica;2,00
SAMBIL;BAC43BF;BACKPACK FLEX;[BAC43BF] BACKPACK FLEX (Negro);Negro;�nica;8,00
SAMBIL;PONC43EQ;PONCHO KIDS;[PONC43EQ] PONCHO KIDS (Negro);Negro;Kids;4,00
CHACAO;BAC43BF;BACKPACK FLEX;[BAC43BF] BACKPACK FLEX (Negro);Negro;�nica;1,00
CERRO VERDE;CIT12CIB;CITYBAG;[CIT12CIB] CITYBAG (Azul Marino);Azul Marino;�nica;2,00
GRANDPLAZ;CIT12CIB;CITYBAG;[CIT12CIB] CITYBAG (Azul Marino);Azul Marino;�nica;2,00
GRANDPLAZ;CIT152CIB;CITYBAG;[CIT152CIB] CITYBAG (Verde);Verde;�nica;5,00
GRANDPLAZ;PONKI63EQ;PONCHO KIDS;[PONKI63EQ] PONCHO KIDS (Verde Agua);Verde Agua;Kids;2,00
GRANDPLAZ;PONC43EQ;PONCHO KIDS;[PONC43EQ] PONCHO KIDS (Negro);Negro;Kids;3,00
GRANDPLAZ;PONC12EQ;PONCHO KIDS;[PONC12EQ] PONCHO KIDS (Azul Marino);Azul Marino;Kids;1,00
GRANDPLAZ;CIT70CIB;CITYBAG;[CIT70CIB] CITYBAG (Vinotinto);Vinotinto;�nica;1,00
GRANDPLAZ;PONC01EQ;PONCHO ADULTO;[PONC01EQ] PONCHO ADULTO (AGUAMARINA);Aguamarina;Adulto;3,00
GRANDPLAZ;PONC151EQ;PONCHO ADULTO;[PONC151EQ] PONCHO ADULTO (AZUL);Azul;Adulto;3,00
GRANDPLAZ;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo);Azul Cielo;Kids;2,00
GRANDPLAZ;PONC152EQ;PONCHO ADULTO;[PONC152EQ] PONCHO ADULTO (VERDE);Verde;Adulto;3,00
CERRO VERDE;CAVAP15135L;CAVAPACK 35L;[CAVAP15135L] CAVAPACK 35L (Azul);Azul;35L;14,00
CERRO VERDE;BAC43BF;BACKPACK FLEX;[BAC43BF] BACKPACK FLEX (Negro);Negro;�nica;7,00
CHACAO;EC172UN;ECO BAG;[EC172UN] ECO BAG (Made in Venezuela/Verde);Verde;�nica;7,00
