Ubicaci�n;Producto;SKU;MODELO;COLOR;Cantidad en inventario
GRIETA;[DRY5030L] DRY BAG 30L (Rojo);DRY5030L;DRY BAG 30L;Rojo;3,00
GRIETA;[DRY4230L] DRY BAG 30L (Naranja);DRY4230L;DRY BAG 30L;Naranja;3,00
GRIETA;[DRY1630L] DRY BAG 30L (Blanco);DRY1630L;DRY BAG 30L;Blanco;3,00
GRIETA;[DRY6630L] DRY BAG 30L (Verde Militar);DRY6630L;DRY BAG 30L;Verde Militar;1,00
GRIETA;[DRY0330L] DRY BAG 30L (Amarillo);DRY0330L;DRY BAG 30L;Amarillo;4,00
GRIETA;[TRA3140L] TRAVEL BAG 40L (Gris Oscuro);TRA3140L;TRAVEL BAG 40L;Gris Oscuro;4,00
GRIETA;[KOA65KA] MINI BAG (Verde Menta);KOA65KA;MINI BAG;Verde Menta;5,00
GRIETA;[KOA13KA] MINI BAG (Azul Rey);KOA13KA;MINI BAG;Azul Rey;3,00
GRIETA;[TRA5040L] TRAVEL BAG 40L (Rojo);TRA5040L;TRAVEL BAG 40L;Rojo;1,00
GRIETA;[TRA1240L] TRAVEL BAG 40L (Azul Marino);TRA1240L;TRAVEL BAG 40L;Azul Marino;2,00
GRIETA;[KOA131KA] MINI BAG (Camel);KOA131KA;MINI BAG;Camel;2,00
GRIETA;[KOA43KA] MINI BAG (Negro);KOA43KA;MINI BAG;Negro;2,00
GRIETA;[TRA4340L] TRAVEL BAG 40L (Negro);TRA4340L;TRAVEL BAG 40L;Negro;1,00
GRIETA;[KOA132KA] MINI BAG (Bronce);KOA132KA;MINI BAG;Bronce;2,00
SAMBIL;[DRY4230L] DRY BAG 30L (Naranja);DRY4230L;DRY BAG 30L;Naranja;1,00
SAMBIL;[KOA13KA] MINI BAG (Azul Rey);KOA13KA;MINI BAG;Azul Rey;10,00
SAMBIL;[KOA65KA] MINI BAG (Verde Menta);KOA65KA;MINI BAG;Verde Menta;10,00
SAMBIL;[KOA131KA] MINI BAG (Camel);KOA131KA;MINI BAG;Camel;2,00
SAMBIL;[TRA1240L] TRAVEL BAG 40L (Azul Marino);TRA1240L;TRAVEL BAG 40L;Azul Marino;3,00
SAMBIL;[TRA5040L] TRAVEL BAG 40L (Rojo);TRA5040L;TRAVEL BAG 40L;Rojo;2,00
SAMBIL;[KOA43KA] MINI BAG (Negro);KOA43KA;MINI BAG;Negro;7,00
