Fecha de la orden;SKU;Modelo;Producto;Color;Talla;Cant. ordenada;Vendedor;FECHA
08/08/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00;Cerro Verde ;agosto-2025
08/08/2025;PONKI30EQ;PONCHO KIDS;[PONKI30EQ] PONCHO KIDS (Gris Claro - 9734);Gris Claro;Kids;1,00;Cerro Verde ;agosto-2025
09/08/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00;La Grieta;agosto-2025
09/08/2025;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo - 52013);Azul Cielo;Kids;1,00;Sambil Chacao ;agosto-2025
09/08/2025;PONKI30EQ;PONCHO KIDS;[PONKI30EQ] PONCHO KIDS (Gris Claro - 9734);Gris Claro;Kids;1,00;Cerro Verde ;agosto-2025
09/08/2025;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo - 52013);Azul Cielo;Kids;1,00;Sambil Chacao ;agosto-2025
09/08/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00;La Grieta;agosto-2025
09/08/2025;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo - 52013);Azul Cielo;Kids;1,00;Cerro Verde ;agosto-2025
09/08/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00;Cerro Verde ;agosto-2025
09/08/2025;PONKI30EQ;PONCHO KIDS;[PONKI30EQ] PONCHO KIDS (Gris Claro - 9734);Gris Claro;Kids;1,00;La Grieta;agosto-2025
09/08/2025;PONKI30EQ;PONCHO KIDS;[PONKI30EQ] PONCHO KIDS (Gris Claro - 9734);Gris Claro;Kids;1,00;Sambil Chacao ;agosto-2025
09/08/2025;PONKI63EQ;PONCHO KIDS;[PONKI63EQ] PONCHO KIDS (Verde Agua);Verde Agua;Kids;1,00;Sambil Chacao ;agosto-2025
09/08/2025;PONKI30EQ;PONCHO KIDS;[PONKI30EQ] PONCHO KIDS (Gris Claro - 9734);Gris Claro;Kids;1,00;Sambil Valencia;agosto-2025
09/08/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00;Sambil Valencia;agosto-2025
09/08/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00;Sambil Valencia;agosto-2025
10/08/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00;Cerro Verde ;agosto-2025
10/08/2025;PONKI63EQ;PONCHO KIDS;[PONKI63EQ] PONCHO KIDS (Verde Agua);Verde Agua;Kids;1,00;Grandplaz ;agosto-2025
10/08/2025;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo - 52013);Azul Cielo;Kids;1,00;Cerro Verde ;agosto-2025
11/08/2025;PONKI30EQ;PONCHO KIDS;[PONKI30EQ] PONCHO KIDS (Gris Claro - 9734);Gris Claro;Kids;2,00;La Grieta;agosto-2025
11/08/2025;PONKI30EQ;PONCHO KIDS;[PONKI30EQ] PONCHO KIDS (Gris Claro - 9734);Gris Claro;Kids;-2,00;La Grieta;agosto-2025
11/08/2025;PONKI30EQ;PONCHO KIDS;[PONKI30EQ] PONCHO KIDS (Gris Claro - 9734);Gris Claro;Kids;1,00;La Grieta;agosto-2025
12/08/2025;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo - 52013);Azul Cielo;Kids;1,00;Cerro Verde ;agosto-2025
12/08/2025;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo - 52013);Azul Cielo;Kids;1,00;La Grieta;agosto-2025
12/08/2025;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo - 52013);Azul Cielo;Kids;2,00;Cerro Verde ;agosto-2025
13/08/2025;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo - 52013);Azul Cielo;Kids;1,00;Cerro Verde ;agosto-2025
13/08/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00;Sambil Chacao ;agosto-2025
14/08/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00;Cerro Verde ;agosto-2025
14/08/2025;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo - 52013);Azul Cielo;Kids;1,00;Cerro Verde ;agosto-2025
14/08/2025;PONKI63EQ;PONCHO KIDS;[PONKI63EQ] PONCHO KIDS (Verde Agua);Verde Agua;Kids;1,00;Sambil Chacao ;agosto-2025
15/08/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00;Sambil Valencia;agosto-2025
15/08/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00;La Grieta;agosto-2025
15/08/2025;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo - 52013);Azul Cielo;Kids;1,00;Sambil Valencia;agosto-2025
16/08/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00;Cerro Verde ;agosto-2025
17/08/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00;Cerro Verde ;agosto-2025
19/08/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00;Cerro Verde ;agosto-2025
19/08/2025;PONKI63EQ;PONCHO KIDS;[PONKI63EQ] PONCHO KIDS (Verde Agua);Verde Agua;Kids;1,00;Sambil Chacao ;agosto-2025
19/08/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00;Cerro Verde ;agosto-2025
